congress,chamber,rollnumber,icpsr,cast_code,prob
104,Senate,1,1366,1,78.1
104,Senate,1,4812,1,58.4
104,Senate,1,9369,1,99.9
104,Senate,1,10513,1,99.9
104,Senate,1,10791,6,26.9
104,Senate,1,10808,6,87.1
104,Senate,1,10818,6,59.2
104,Senate,1,11044,1,99.8
104,Senate,1,11203,1,95.7
104,Senate,1,11204,9,83.1
104,Senate,1,12107,1,97.9
104,Senate,1,12109,1,99.5
104,Senate,1,13039,6,80.2
104,Senate,1,13056,1,96.7
104,Senate,1,14009,1,99.9
104,Senate,1,14010,1,98.1
104,Senate,1,14031,1,99.9
104,Senate,1,14101,1,56.1
104,Senate,1,14103,1,99.8
104,Senate,1,14105,1,99.7
104,Senate,1,14107,1,93.0
104,Senate,1,14108,9,95.8
104,Senate,1,14203,1,81.8
104,Senate,1,14213,1,42.2
104,Senate,1,14226,1,99.9
104,Senate,1,14230,6,71.1
104,Senate,1,14240,1,94.6
104,Senate,1,14268,1,99.7
104,Senate,1,14275,6,72.4
104,Senate,1,14300,6,42.1
104,Senate,1,14302,1,83.1
104,Senate,1,14304,1,68.9
104,Senate,1,14307,9,39.9
104,Senate,1,14400,1,38.9
104,Senate,1,14440,1,37.5
104,Senate,1,14500,1,94.4
104,Senate,1,14503,1,99.9
104,Senate,1,14506,1,99.7
104,Senate,1,14508,1,46.2
104,Senate,1,14617,1,64.4
104,Senate,1,14628,1,99.9
104,Senate,1,14661,1,98.3
104,Senate,1,14702,1,37.6
104,Senate,1,14704,1,91.7
104,Senate,1,14705,1,97.6
104,Senate,1,14708,1,99.3
104,Senate,1,14709,1,31.5
104,Senate,1,14710,1,99.8
104,Senate,1,14712,1,99.9
104,Senate,1,14803,1,99.5
104,Senate,1,14806,1,99.9
104,Senate,1,14809,1,99.9
104,Senate,1,14812,1,72.4
104,Senate,1,14826,1,99.6
104,Senate,1,14900,1,99.6
104,Senate,1,14904,1,99.5
104,Senate,1,14907,1,99.9
104,Senate,1,14908,1,99.9
104,Senate,1,14910,1,97.3
104,Senate,1,14912,6,28.6
104,Senate,1,14914,6,78.6
104,Senate,1,14920,6,66.4
104,Senate,1,14921,1,99.9
104,Senate,1,14922,9,60.4
104,Senate,1,15011,6,86.9
104,Senate,1,15020,1,99.8
104,Senate,1,15037,1,99.9
104,Senate,1,15039,1,99.7
104,Senate,1,15054,1,74.9
104,Senate,1,15116,1,99.6
104,Senate,1,15407,9,92.1
104,Senate,1,15424,1,99.9
104,Senate,1,15429,1,99.8
104,Senate,1,15501,1,99.9
104,Senate,1,15502,1,77.9
104,Senate,1,15503,6,22.5
104,Senate,1,15633,1,99.9
104,Senate,1,15700,6,20.0
104,Senate,1,15701,1,99.9
104,Senate,1,15702,6,22.0
104,Senate,1,15703,1,58.9
104,Senate,1,15704,6,25.4
104,Senate,1,15705,6,17.3
104,Senate,1,29141,1,99.9
104,Senate,1,29367,1,99.9
104,Senate,1,49101,6,98.1
104,Senate,1,49300,1,63.3
104,Senate,1,49301,1,99.9
104,Senate,1,49302,1,99.9
104,Senate,1,49303,6,66.0
104,Senate,1,49304,1,99.6
104,Senate,1,49306,1,99.9
104,Senate,1,49307,1,99.9
104,Senate,1,49308,1,36.8
104,Senate,1,49309,6,71.9
104,Senate,1,49500,1,99.9
104,Senate,1,49501,1,99.9
104,Senate,1,49502,1,99.9
104,Senate,1,49503,1,99.6
104,Senate,1,94659,1,99.9
