congress,chamber,rollnumber,date,session,clerk_rollnumber,yea_count,nay_count,nominate_mid_1,nominate_mid_2,nominate_spread_1,nominate_spread_2,nominate_log_likelihood,bill_number,vote_result,vote_desc,vote_question,dtl_desc
114,Senate,252,2015-07-24,1,252,51,26,-0.13,-0.462,-0.048,-0.217,-42.607,HR22,Motion to Proceed Agreed to,A bill to amend the Internal Revenue Code of 1986 to exempt employees with health coverage under TRICARE or the Veterans Administration from being taken into account for purposes of determining the employers to which the employer mandate applies under the Patient Protection and Affordable Care Act.,On the Motion to Proceed,
114,Senate,253,2015-07-26,1,253,49,43,0.043,-0.071,-0.449,0.163,-0.371,HR22,Cloture Motion Rejected,To repeal the Patient Protection and Affordable Care Act and the Health Care and Education Reconciliation Act of 2010 entirely.,On the Cloture Motion,
114,Senate,254,2015-07-26,1,254,67,26,0.458,0.02,0.27,0.325,-25.489,HR22,Cloture Motion Agreed to,To reauthorize and reform the Export-Import Bank of the United States.,On the Cloture Motion,
114,Senate,255,2015-07-27,1,255,79,14,0.499,-0.655,0.131,-0.212,-34.212,HR22,Motion for Attendance Agreed to,A bill to amend the Internal Revenue Code of 1986 to exempt employees with health coverage under TRICARE or the Veterans Administration from being taken into account for purposes of determining the employers to which the employer mandate applies under the Patient Protection and Affordable Care Act.,On the Motion for Attendance,
114,Senate,256,2015-07-27,1,256,64,29,0.44,-0.003,0.166,0.262,-30.233,HR22,Amendment Agreed to,To reauthorize and reform the Export-Import Bank of the United States.,On the Amendment,
114,Senate,257,2015-07-27,1,257,62,32,-0.179,0.167,-0.056,0.099,-54.381,HR22,Cloture Motion Agreed to,In the nature of a substitute.,On the Cloture Motion,
114,Senate,258,2015-07-29,1,258,62,38,-0.012,-0.328,-0.017,-0.162,-64.556,HR22,Amendment Agreed to,In the nature of a substitute.,On the Amendment,
114,Senate,259,2015-07-29,1,259,65,35,-0.135,-0.341,-0.038,-0.146,-60.493,HR22,Cloture Motion Agreed to,A bill to amend the Internal Revenue Code of 1986 to exempt employees with health coverage under TRICARE or the Veterans Administration from being taken into account for purposes of determining the employers to which the employer mandate applies under the Patient Protection and Affordable Care Act.,On the Cloture Motion,
114,Senate,260,2015-07-30,1,260,65,34,0.035,0.055,-0.014,0.055,-67.062,HR22,Bill Passed,"An act to authorize funds for Federal-aid highways, highway safety programs, and transit programs, and for other purposes.",On Passage of the Bill,
114,Senate,261,2015-07-30,1,261,91,4,0.862,-0.366,0.254,-0.083,-15.303,HR3236,Bill Passed,"A bill to provide an extension of Federal-aid highway, highway safety, motor carrier safety, transit, and other programs funded out of the Highway Trust Fund, to provide resource flexibility to the Department of Veterans Affairs for health care services, and for other purposes.",On Passage of the Bill,
114,Senate,262,2015-08-03,1,262,53,46,0.063,-0.085,-0.226,-0.343,-10.754,S1881,Cloture on the Motion to Proceed Rejected,A bill to prohibit Federal funding of Planned Parenthood Federation of America.,On Cloture on the Motion to Proceed,
114,Senate,263,2015-09-08,1,263,96,0,0.0,0.0,0.0,0.0,0.0,PN17,Nomination Confirmed,"Roseann A. Ketchmark, of Missouri, to be United States District Judge for the Western District of Missouri",On the Nomination,
114,Senate,264,2015-09-10,1,264,58,42,-0.064,-0.058,-0.244,0.296,-14.303,HJRES61,Cloture Motion Rejected,Of a perfecting nature.,On the Cloture Motion,
114,Senate,265,2015-09-15,1,265,56,42,-0.064,-0.058,-0.244,0.294,-14.298,HJRES61,Cloture Motion Rejected,Of a perfecting nature.,On the Cloture Motion,
114,Senate,266,2015-09-17,1,266,53,45,-0.03,-0.092,-0.45,-0.072,-1.778,HJRES61,Cloture Motion Rejected,"To prohibit the President from waiving, suspending, reducing, providing relief from, or otherwise limiting the application of sanctions pursuant to an agreement related to the nuclear program of Iran.",On the Cloture Motion,
114,Senate,267,2015-09-17,1,267,56,42,-0.064,-0.056,-0.244,0.294,-14.296,HJRES61,Cloture Motion Rejected,In the nature of a substitute.,On the Cloture Motion,
114,Senate,268,2015-09-22,1,268,54,42,0.044,-0.101,-0.282,-0.723,-7.309,HR36,Cloture on the Motion to Proceed Rejected,"A bill to amend title 18, United States Code, to protect pain-capable unborn children, and for other purposes.",On Cloture on the Motion to Proceed,
114,Senate,269,2015-09-22,1,269,54,42,-0.032,-0.095,-0.423,-0.087,-2.934,HR2685,Cloture on the Motion to Proceed Rejected,"A bill making appropriations for the Department of Defense for the fiscal year ending September 30, 2016, and for other purposes.",On Cloture on the Motion to Proceed,
114,Senate,270,2015-09-24,1,270,47,52,0.134,0.047,-0.187,-0.629,-19.959,HJRES61,Cloture Motion Rejected,"Making continuing appropriations for the fiscal year ending September 30, 2016, and for other purposes.",On the Cloture Motion,
