congress,chamber,rollnumber,icpsr,cast_code,prob
114,Senate,1,14009,6,100.0
114,Senate,1,14226,6,100.0
114,Senate,1,14307,1,89.6
114,Senate,1,14435,1,99.8
114,Senate,1,14440,1,91.1
114,Senate,1,14503,6,100.0
114,Senate,1,14651,1,16.2
114,Senate,1,14806,6,100.0
114,Senate,1,14852,6,100.0
114,Senate,1,14858,1,93.8
114,Senate,1,14871,1,90.4
114,Senate,1,14921,6,100.0
114,Senate,1,15011,9,99.2
114,Senate,1,15015,6,70.0
114,Senate,1,15021,1,91.6
114,Senate,1,15039,6,100.0
114,Senate,1,15054,9,47.2
114,Senate,1,15408,1,83.6
114,Senate,1,15424,6,100.0
114,Senate,1,20100,6,100.0
114,Senate,1,20101,6,100.0
114,Senate,1,20115,6,100.0
114,Senate,1,20146,9,100.0
114,Senate,1,20707,1,68.3
114,Senate,1,20713,1,99.5
114,Senate,1,20717,6,96.3
114,Senate,1,20730,6,100.0
114,Senate,1,20735,1,99.6
114,Senate,1,20919,6,100.0
114,Senate,1,20923,6,43.7
114,Senate,1,20930,6,22.4
114,Senate,1,21112,6,100.0
114,Senate,1,21166,6,100.0
114,Senate,1,21173,6,100.0
114,Senate,1,21301,6,100.0
114,Senate,1,21338,6,100.0
114,Senate,1,29142,1,92.2
114,Senate,1,29147,1,99.9
114,Senate,1,29345,6,100.0
114,Senate,1,29373,1,90.0
114,Senate,1,29386,6,100.0
114,Senate,1,29389,1,97.2
114,Senate,1,29534,6,100.0
114,Senate,1,29548,6,100.0
114,Senate,1,29566,6,100.0
114,Senate,1,29722,6,100.0
114,Senate,1,29732,6,17.6
114,Senate,1,29735,6,100.0
114,Senate,1,29754,6,100.0
114,Senate,1,29909,6,100.0
114,Senate,1,29918,6,100.0
114,Senate,1,29924,1,96.1
114,Senate,1,29935,6,100.0
114,Senate,1,29940,1,99.5
114,Senate,1,39310,1,83.9
114,Senate,1,40300,6,100.0
114,Senate,1,40304,6,100.0
114,Senate,1,40305,6,100.0
114,Senate,1,40700,6,24.4
114,Senate,1,40701,6,87.4
114,Senate,1,40702,6,69.9
114,Senate,1,40703,6,35.7
114,Senate,1,40704,1,89.2
114,Senate,1,40705,6,100.0
114,Senate,1,40707,6,100.0
114,Senate,1,40902,6,100.0
114,Senate,1,40904,1,95.3
114,Senate,1,40906,1,51.8
114,Senate,1,40908,1,99.5
114,Senate,1,40909,1,31.2
114,Senate,1,40910,6,55.3
114,Senate,1,40915,6,99.1
114,Senate,1,40916,1,49.7
114,Senate,1,41101,1,97.1
114,Senate,1,41102,6,100.0
114,Senate,1,41104,6,100.0
114,Senate,1,41106,6,100.0
114,Senate,1,41107,6,100.0
114,Senate,1,41110,6,100.0
114,Senate,1,41111,6,100.0
114,Senate,1,41112,1,97.8
114,Senate,1,41300,6,77.3
114,Senate,1,41301,1,100.0
114,Senate,1,41302,6,100.0
114,Senate,1,41303,6,95.8
114,Senate,1,41304,6,100.0
114,Senate,1,41305,1,48.1
114,Senate,1,41308,1,100.0
114,Senate,1,41500,6,100.0
114,Senate,1,41501,6,100.0
114,Senate,1,41502,6,100.0
114,Senate,1,41503,6,100.0
114,Senate,1,41504,6,100.0
114,Senate,1,41505,6,100.0
114,Senate,1,49300,1,65.2
114,Senate,1,49308,1,91.2
114,Senate,1,49700,6,100.0
114,Senate,1,49703,6,99.7
114,Senate,1,49706,6,100.0
114,Senate,1,94659,6,100.0
114,Senate,2,14009,1,99.8
114,Senate,2,14226,1,99.7
114,Senate,2,14307,1,98.0
114,Senate,2,14435,1,77.3
114,Senate,2,14440,1,97.9
114,Senate,2,14503,1,99.7
114,Senate,2,14651,1,99.9
114,Senate,2,14806,1,99.4
114,Senate,2,14852,1,99.5
114,Senate,2,14858,1,92.0
114,Senate,2,14871,1,90.9
114,Senate,2,14921,1,99.6
114,Senate,2,15011,9,84.9
114,Senate,2,15015,1,99.1
114,Senate,2,15021,1,94.9
114,Senate,2,15039,1,97.5
114,Senate,2,15054,9,99.8
114,Senate,2,15408,1,97.4
114,Senate,2,15424,1,99.0
114,Senate,2,20100,1,89.6
114,Senate,2,20101,1,99.8
114,Senate,2,20115,1,97.5
114,Senate,2,20146,9,99.9
114,Senate,2,20707,1,98.4
114,Senate,2,20713,1,95.0
114,Senate,2,20717,1,100.0
114,Senate,2,20730,1,98.2
114,Senate,2,20735,1,83.4
114,Senate,2,20919,1,99.4
114,Senate,2,20923,1,98.8
114,Senate,2,20930,1,99.1
114,Senate,2,21112,1,99.5
114,Senate,2,21166,1,98.9
114,Senate,2,21173,1,98.2
114,Senate,2,21301,1,99.0
114,Senate,2,21338,1,98.8
114,Senate,2,29142,1,97.0
114,Senate,2,29147,6,18.5
114,Senate,2,29345,1,99.5
114,Senate,2,29373,1,98.1
114,Senate,2,29386,1,99.4
114,Senate,2,29389,1,96.7
114,Senate,2,29534,1,99.8
114,Senate,2,29548,1,99.5
114,Senate,2,29566,1,99.4
114,Senate,2,29722,1,99.7
114,Senate,2,29732,1,99.0
114,Senate,2,29735,1,99.7
114,Senate,2,29754,1,99.7
114,Senate,2,29909,1,99.6
114,Senate,2,29918,1,99.5
114,Senate,2,29924,1,98.9
114,Senate,2,29935,1,97.1
114,Senate,2,29940,1,93.5
114,Senate,2,39310,6,5.9
114,Senate,2,40300,1,99.5
114,Senate,2,40304,1,99.6
114,Senate,2,40305,1,99.3
114,Senate,2,40700,1,96.2
114,Senate,2,40701,1,99.8
