congress,chamber,rollnumber,icpsr,cast_code,prob
100,Senate,1,660,1,98.9
100,Senate,1,1252,1,98.2
100,Senate,1,1366,1,96.6
100,Senate,1,4812,1,99.5
100,Senate,1,7638,1,90.2
100,Senate,1,8883,1,91.8
100,Senate,1,9369,1,90.5
100,Senate,1,10513,1,99.6
100,Senate,1,10562,1,100.0
100,Senate,1,10605,1,99.4
100,Senate,1,10700,1,99.4
100,Senate,1,10791,1,97.6
100,Senate,1,10808,1,99.5
100,Senate,1,10818,1,99.8
100,Senate,1,11029,9,86.7
100,Senate,1,11043,1,99.3
100,Senate,1,11044,1,99.9
100,Senate,1,11203,3,100.0
100,Senate,1,11204,6,5.6
100,Senate,1,12032,1,100.0
100,Senate,1,12039,1,98.6
100,Senate,1,12103,1,99.6
100,Senate,1,12107,1,100.0
100,Senate,1,12109,1,100.0
100,Senate,1,13039,1,99.3
100,Senate,1,13050,1,100.0
100,Senate,1,13056,1,97.3
100,Senate,1,13101,1,98.4
100,Senate,1,14002,1,91.9
100,Senate,1,14009,1,98.6
100,Senate,1,14010,9,100.0
100,Senate,1,14056,1,19.9
100,Senate,1,14073,1,99.0
100,Senate,1,14101,9,99.6
100,Senate,1,14103,1,99.8
100,Senate,1,14105,6,90.0
100,Senate,1,14107,1,96.7
100,Senate,1,14108,1,96.8
100,Senate,1,14203,1,99.8
100,Senate,1,14213,1,99.8
100,Senate,1,14226,1,98.4
100,Senate,1,14230,1,99.8
100,Senate,1,14242,1,99.5
100,Senate,1,14268,1,99.9
100,Senate,1,14275,1,99.5
100,Senate,1,14282,1,99.8
100,Senate,1,14300,1,98.4
100,Senate,1,14302,1,97.0
100,Senate,1,14303,3,92.7
100,Senate,1,14304,1,99.8
100,Senate,1,14307,1,99.6
100,Senate,1,14423,1,99.4
100,Senate,1,14440,1,99.5
100,Senate,1,14447,1,99.3
100,Senate,1,14456,1,99.0
100,Senate,1,14467,1,99.5
100,Senate,1,14500,9,100.0
100,Senate,1,14501,1,100.0
100,Senate,1,14502,1,98.3
100,Senate,1,14503,1,96.7
100,Senate,1,14506,1,99.9
100,Senate,1,14508,1,99.9
100,Senate,1,14509,1,97.6
100,Senate,1,14511,1,93.1
100,Senate,1,14512,1,92.6
100,Senate,1,14617,1,99.5
100,Senate,1,14628,1,85.6
100,Senate,1,14659,1,96.8
100,Senate,1,14700,1,96.6
100,Senate,1,14701,9,100.0
100,Senate,1,14702,1,99.9
100,Senate,1,14703,1,100.0
100,Senate,1,14704,1,95.5
100,Senate,1,14705,1,92.6
100,Senate,1,14706,6,30.5
100,Senate,1,14708,1,100.0
100,Senate,1,14709,1,99.4
100,Senate,1,14710,1,99.7
100,Senate,1,14712,1,99.6
100,Senate,1,14713,1,99.5
100,Senate,1,14900,1,99.9
100,Senate,1,14902,1,99.4
100,Senate,1,14907,3,99.4
100,Senate,1,14908,1,78.5
100,Senate,1,14909,1,99.9
100,Senate,1,14910,1,100.0
100,Senate,1,14912,1,99.7
100,Senate,1,14913,6,6.4
100,Senate,1,14914,1,99.7
100,Senate,1,14915,1,99.7
100,Senate,1,14916,1,100.0
100,Senate,1,14920,1,99.8
100,Senate,1,14921,1,95.8
100,Senate,1,14922,1,99.3
100,Senate,1,15039,1,99.8
100,Senate,1,15054,1,99.3
100,Senate,1,15501,1,99.4
100,Senate,1,15502,1,97.9
100,Senate,1,15503,1,99.8
100,Senate,1,15504,1,99.5
100,Senate,1,99907,9,90.8
100,Senate,2,660,1,
100,Senate,2,1252,1,
100,Senate,2,1366,1,
100,Senate,2,4812,1,
100,Senate,2,7638,1,
100,Senate,2,8883,1,
100,Senate,2,9369,1,
100,Senate,2,10513,1,
100,Senate,2,10562,1,
100,Senate,2,10605,1,
100,Senate,2,10700,1,
100,Senate,2,10791,1,
100,Senate,2,10808,1,
100,Senate,2,10818,1,
100,Senate,2,11029,9,
100,Senate,2,11043,1,
100,Senate,2,11044,1,
100,Senate,2,11203,9,
100,Senate,2,11204,1,
100,Senate,2,12032,1,
100,Senate,2,12039,1,
100,Senate,2,12103,1,
100,Senate,2,12107,1,
100,Senate,2,12109,1,
100,Senate,2,13039,1,
100,Senate,2,13050,1,
100,Senate,2,13056,1,
100,Senate,2,13101,1,
100,Senate,2,14002,1,
100,Senate,2,14009,1,
100,Senate,2,14010,9,
100,Senate,2,14056,1,
100,Senate,2,14073,1,
100,Senate,2,14101,9,
100,Senate,2,14103,1,
100,Senate,2,14105,1,
100,Senate,2,14107,1,
100,Senate,2,14108,1,
100,Senate,2,14203,1,
100,Senate,2,14213,1,
100,Senate,2,14226,1,
100,Senate,2,14230,1,
100,Senate,2,14242,1,
100,Senate,2,14268,1,
100,Senate,2,14275,1,
100,Senate,2,14282,1,
100,Senate,2,14300,1,
100,Senate,2,14302,1,
100,Senate,2,14303,3,
100,Senate,2,14304,1,
100,Senate,2,14307,1,
100,Senate,2,14423,1,
100,Senate,2,14440,1,
100,Senate,2,14447,1,
100,Senate,2,14456,1,
100,Senate,2,14467,1,
100,Senate,2,14500,9,
100,Senate,2,14501,1,
100,Senate,2,14502,1,
100,Senate,2,14503,1,
100,Senate,2,14506,1,
100,Senate,2,14508,1,
100,Senate,2,14509,1,
100,Senate,2,14511,1,
100,Senate,2,14512,1,
100,Senate,2,14617,1,
100,Senate,2,14628,1,
100,Senate,2,14659,1,
100,Senate,2,14700,1,
100,Senate,2,14701,9,
100,Senate,2,14702,1,
100,Senate,2,14703,1,
100,Senate,2,14704,1,
100,Senate,2,14705,1,
100,Senate,2,14706,1,
100,Senate,2,14708,1,
100,Senate,2,14709,1,
100,Senate,2,14710,1,
100,Senate,2,14712,1,
100,Senate,2,14713,1,
100,Senate,2,14900,1,
100,Senate,2,14902,1,
100,Senate,2,14907,3,
100,Senate,2,14908,1,
100,Senate,2,14909,1,
100,Senate,2,14910,1,
100,Senate,2,14912,1,
100,Senate,2,14913,1,
100,Senate,2,14914,1,
100,Senate,2,14915,1,
100,Senate,2,14916,1,
100,Senate,2,14920,1,
100,Senate,2,14921,1,
100,Senate,2,14922,1,
100,Senate,2,15039,1,
100,Senate,2,15054,1,
100,Senate,2,15501,1,
100,Senate,2,15502,1,
100,Senate,2,15503,1,
100,Senate,2,15504,1,
100,Senate,2,99907,9,
100,Senate,3,660,6,96.8
100,Senate,3,1252,6,99.5
100,Senate,3,1366,6,96.9
100,Senate,3,4812,6,99.8
100,Senate,3,7638,6,98.4
100,Senate,3,8883,6,61.3
100,Senate,3,9369,1,79.0
100,Senate,3,10513,1,28.5
100,Senate,3,10562,6,99.4
100,Senate,3,10605,6,99.9
100,Senate,3,10700,6,99.9
100,Senate,3,10791,6,98.4
100,Senate,3,10808,6,100.0
100,Senate,3,10818,6,100.0
100,Senate,3,11029,1,83.5
100,Senate,3,11043,6,99.9
100,Senate,3,11044,6,85.0
100,Senate,3,11203,6,99.5
