congress,chamber,rollnumber,icpsr,cast_code,prob
94,Senate,1,660,1,98.7
94,Senate,1,1252,1,99.3
94,Senate,1,1366,1,98.1
94,Senate,1,1482,1,98.8
94,Senate,1,1569,1,99.3
94,Senate,1,1721,1,99.4
94,Senate,1,2267,1,72.7
94,Senate,1,2822,1,79.1
94,Senate,1,3255,1,98.5
94,Senate,1,3658,1,66.6
94,Senate,1,3824,2,95.8
94,Senate,1,4148,1,99.5
94,Senate,1,4154,9,99.5
94,Senate,1,4660,1,80.3
94,Senate,1,4728,1,99.6
94,Senate,1,4812,9,99.6
94,Senate,1,4851,2,99.6
94,Senate,1,4898,3,99.3
94,Senate,1,5767,1,95.2
94,Senate,1,5913,1,99.6
94,Senate,1,5967,1,99.2
94,Senate,1,6151,1,81.8
94,Senate,1,6249,1,99.5
94,Senate,1,6256,1,99.1
94,Senate,1,6442,1,99.2
94,Senate,1,6611,1,99.4
94,Senate,1,6754,1,99.5
94,Senate,1,6831,1,99.6
94,Senate,1,7229,1,99.7
94,Senate,1,7638,1,97.6
94,Senate,1,7722,1,99.3
94,Senate,1,7847,1,99.7
94,Senate,1,8301,1,98.5
94,Senate,1,8764,1,96.7
94,Senate,1,8883,1,86.5
94,Senate,1,9141,1,99.5
94,Senate,1,9174,6,11.2
94,Senate,1,9369,6,25.3
94,Senate,1,10147,1,99.7
94,Senate,1,10450,5,5.6
94,Senate,1,10513,1,93.8
94,Senate,1,10535,3,99.2
94,Senate,1,10557,1,99.3
94,Senate,1,10562,9,99.2
94,Senate,1,10571,1,91.3
94,Senate,1,10630,5,3.0
94,Senate,1,10715,1,99.6
94,Senate,1,10736,1,99.5
94,Senate,1,10777,3,99.7
94,Senate,1,10800,1,99.6
94,Senate,1,10802,1,72.7
94,Senate,1,10804,1,68.6
94,Senate,1,10808,1,99.5
94,Senate,1,10810,1,99.6
94,Senate,1,10813,1,99.6
94,Senate,1,10816,1,99.2
94,Senate,1,10817,1,98.7
94,Senate,1,10818,3,99.7
94,Senate,1,10823,1,80.7
94,Senate,1,11029,9,70.5
94,Senate,1,11044,1,96.3
94,Senate,1,11048,6,38.8
94,Senate,1,11200,1,96.2
94,Senate,1,11201,1,99.3
94,Senate,1,11202,1,74.4
94,Senate,1,11203,1,99.2
94,Senate,1,11204,1,96.4
94,Senate,1,11205,1,98.9
94,Senate,1,12002,1,98.2
94,Senate,1,12032,1,98.8
94,Senate,1,12100,1,80.0
94,Senate,1,12101,1,95.7
94,Senate,1,12103,1,99.6
94,Senate,1,12104,1,99.5
94,Senate,1,12105,1,99.6
94,Senate,1,12107,1,98.7
94,Senate,1,12109,1,97.7
94,Senate,1,13000,1,97.5
94,Senate,1,13100,1,85.0
94,Senate,1,13101,1,98.6
94,Senate,1,13102,1,99.7
94,Senate,1,14077,1,78.4
94,Senate,1,14100,1,76.7
94,Senate,1,14101,1,99.7
94,Senate,1,14102,1,99.3
94,Senate,1,14103,1,95.9
94,Senate,1,14104,1,99.2
94,Senate,1,14105,6,87.2
94,Senate,1,14106,9,99.0
94,Senate,1,14107,1,96.8
94,Senate,1,14108,1,96.1
94,Senate,1,14300,1,99.3
94,Senate,1,14302,1,98.1
94,Senate,1,14303,1,77.2
94,Senate,1,14304,1,99.7
94,Senate,1,14305,1,99.6
94,Senate,1,14307,1,99.7
94,Senate,1,14308,1,96.0
94,Senate,1,14309,1,98.3
94,Senate,1,99905,9,88.3
94,Senate,2,660,6,98.4
94,Senate,2,1252,6,100.0
94,Senate,2,1366,6,100.0
94,Senate,2,1482,6,99.6
94,Senate,2,1569,1,69.3
94,Senate,2,1721,6,100.0
94,Senate,2,2267,1,100.0
94,Senate,2,2822,6,86.3
94,Senate,2,3255,1,99.2
94,Senate,2,3658,1,100.0
94,Senate,2,3824,1,100.0
94,Senate,2,4148,6,99.6
94,Senate,2,4154,6,100.0
94,Senate,2,4660,1,100.0
94,Senate,2,4728,6,99.8
94,Senate,2,4812,6,99.6
94,Senate,2,4851,5,99.4
94,Senate,2,4898,1,65.4
94,Senate,2,5767,6,99.9
94,Senate,2,5913,6,99.8
94,Senate,2,5967,6,100.0
94,Senate,2,6151,6,86.6
94,Senate,2,6249,6,98.7
94,Senate,2,6256,6,100.0
94,Senate,2,6442,5,100.0
94,Senate,2,6611,6,99.7
94,Senate,2,6754,6,100.0
94,Senate,2,6831,6,99.8
94,Senate,2,7229,6,96.4
94,Senate,2,7638,6,100.0
94,Senate,2,7722,6,99.6
94,Senate,2,7847,6,96.8
94,Senate,2,8301,1,99.2
94,Senate,2,8764,6,99.9
94,Senate,2,8883,6,97.5
94,Senate,2,9141,6,99.9
94,Senate,2,9174,6,99.0
94,Senate,2,9369,1,100.0
94,Senate,2,10147,6,97.4
94,Senate,2,10450,1,97.1
94,Senate,2,10513,1,100.0
94,Senate,2,10535,1,84.7
94,Senate,2,10557,1,89.7
94,Senate,2,10562,2,94.0
94,Senate,2,10571,1,100.0
94,Senate,2,10630,2,99.9
94,Senate,2,10715,6,99.5
94,Senate,2,10736,6,100.0
94,Senate,2,10777,6,98.1
94,Senate,2,10800,6,99.9
94,Senate,2,10802,6,60.8
94,Senate,2,10804,1,100.0
94,Senate,2,10808,6,98.8
94,Senate,2,10810,6,99.2
94,Senate,2,10813,6,99.8
94,Senate,2,10816,6,100.0
94,Senate,2,10817,1,98.3
94,Senate,2,10818,6,97.6
94,Senate,2,10823,1,100.0
94,Senate,2,11029,2,100.0
94,Senate,2,11044,1,99.9
94,Senate,2,11048,1,100.0
94,Senate,2,11200,3,100.0
94,Senate,2,11201,1,71.2
94,Senate,2,11202,1,100.0
94,Senate,2,11203,1,94.5
94,Senate,2,11204,6,100.0
94,Senate,2,11205,1,97.4
94,Senate,2,12002,1,99.6
94,Senate,2,12032,6,4.0
94,Senate,2,12100,1,11.9
94,Senate,2,12101,1,100.0
94,Senate,2,12103,6,99.5
94,Senate,2,12104,6,100.0
94,Senate,2,12105,6,99.3
94,Senate,2,12107,1,98.6
94,Senate,2,12109,1,99.8
94,Senate,2,13000,6,100.0
94,Senate,2,13100,1,100.0
94,Senate,2,13101,6,99.8
94,Senate,2,13102,6,98.9
94,Senate,2,14077,1,100.0
94,Senate,2,14100,1,100.0
94,Senate,2,14101,6,99.2
94,Senate,2,14102,6,100.0
94,Senate,2,14103,1,99.9
94,Senate,2,14104,5,100.0
94,Senate,2,14105,1,100.0
94,Senate,2,14106,6,100.0
94,Senate,2,14107,6,99.8
94,Senate,2,14108,6,99.4
94,Senate,2,14300,6,100.0
94,Senate,2,14302,6,100.0
94,Senate,2,14303,1,100.0
94,Senate,2,14304,6,97.7
94,Senate,2,14305,6,100.0
94,Senate,2,14307,6,99.5
94,Senate,2,14308,6,100.0
94,Senate,2,14309,6,99.1
94,Senate,2,99905,9,100.0
94,Senate,3,660,6,82.0
94,Senate,3,1252,6,99.9
94,Senate,3,1366,6,99.4
94,Senate,3,1482,6,92.9
94,Senate,3,1569,1,88.7
94,Senate,3,1721,6,100.0
94,Senate,3,2267,1,100.0
94,Senate,3,2822,1,68.7
94,Senate,3,3255,1,100.0
94,Senate,3,3658,1,100.0
94,Senate,3,3824,1,100.0
94,Senate,3,4148,6,100.0
94,Senate,3,4154,6,100.0
94,Senate,3,4660,1,100.0
94,Senate,3,4728,6,100.0
94,Senate,3,4812,6,99.4
94,Senate,3,4851,5,98.7
94,Senate,3,4898,1,84.4
94,Senate,3,5767,6,89.8
94,Senate,3,5913,6,99.6
94,Senate,3,5967,6,100.0
94,Senate,3,6151,1,67.9
94,Senate,3,6249,6,94.5
94,Senate,3,6256,6,100.0
94,Senate,3,6442,5,100.0
94,Senate,3,6611,6,97.9
94,Senate,3,6754,6,100.0
94,Senate,3,6831,6,99.9
94,Senate,3,7229,6,94.2
94,Senate,3,7638,6,100.0
94,Senate,3,7722,6,96.3
94,Senate,3,7847,6,98.3
94,Senate,3,8301,1,100.0
94,Senate,3,8764,6,93.1
94,Senate,3,8883,1,42.4
94,Senate,3,9141,6,99.5
94,Senate,3,9174,1,31.0
94,Senate,3,9369,1,100.0
94,Senate,3,10147,6,99.3
94,Senate,3,10450,1,99.9
94,Senate,3,10513,1,100.0
94,Senate,3,10535,1,98.4
94,Senate,3,10557,1,99.4
94,Senate,3,10562,2,99.8
94,Senate,3,10571,1,100.0
94,Senate,3,10630,2,100.0
94,Senate,3,10715,6,100.0
94,Senate,3,10736,6,100.0
94,Senate,3,10777,6,98.6
94,Senate,3,10800,6,100.0
94,Senate,3,10802,1,85.8
94,Senate,3,10804,1,100.0
94,Senate,3,10808,6,100.0
94,Senate,3,10810,6,97.8
94,Senate,3,10813,6,100.0
94,Senate,3,10816,6,100.0
94,Senate,3,10817,1,100.0
94,Senate,3,10818,6,99.0
94,Senate,3,10823,1,100.0
94,Senate,3,11029,2,100.0
94,Senate,3,11044,1,100.0
94,Senate,3,11048,1,100.0
94,Senate,3,11200,3,100.0
94,Senate,3,11201,1,90.5
94,Senate,3,11202,1,100.0
94,Senate,3,11203,1,99.9
94,Senate,3,11204,6,99.0
94,Senate,3,11205,1,100.0
94,Senate,3,12002,1,100.0
94,Senate,3,12032,1,100.0
