congress,chamber,rollnumber,icpsr,cast_code,prob
107,Senate,1,1366,1,
107,Senate,1,4812,1,
107,Senate,1,9369,1,
107,Senate,1,10808,1,
107,Senate,1,11204,1,
107,Senate,1,12109,1,
107,Senate,1,13039,1,
107,Senate,1,13056,1,
107,Senate,1,14009,1,
107,Senate,1,14031,1,
107,Senate,1,14101,1,
107,Senate,1,14103,1,
107,Senate,1,14105,1,
107,Senate,1,14203,1,
107,Senate,1,14213,1,
107,Senate,1,14226,1,
107,Senate,1,14230,1,
107,Senate,1,14240,1,
107,Senate,1,14307,1,
107,Senate,1,14400,1,
107,Senate,1,14440,1,
107,Senate,1,14503,1,
107,Senate,1,14506,1,
107,Senate,1,14617,1,
107,Senate,1,14628,1,
107,Senate,1,14651,1,
107,Senate,1,14661,1,
107,Senate,1,14709,1,
107,Senate,1,14712,1,
107,Senate,1,14809,1,
107,Senate,1,14812,1,
107,Senate,1,14826,1,
107,Senate,1,14852,1,
107,Senate,1,14858,1,
107,Senate,1,14871,1,
107,Senate,1,14907,1,
107,Senate,1,14908,1,
107,Senate,1,14910,1,
107,Senate,1,14912,1,
107,Senate,1,14920,1,
107,Senate,1,14921,1,
107,Senate,1,14922,1,
107,Senate,1,15011,1,
107,Senate,1,15015,1,
107,Senate,1,15020,1,
107,Senate,1,15021,1,
107,Senate,1,15039,1,
107,Senate,1,15054,1,
107,Senate,1,15071,1,
107,Senate,1,15116,1,
107,Senate,1,15406,1,
107,Senate,1,15424,1,
107,Senate,1,15425,1,
107,Senate,1,15429,1,
107,Senate,1,15501,1,
107,Senate,1,15502,1,
107,Senate,1,15503,1,
107,Senate,1,15633,1,
107,Senate,1,15701,1,
107,Senate,1,15703,1,
107,Senate,1,15704,1,
107,Senate,1,29108,1,
107,Senate,1,29141,1,
107,Senate,1,29142,1,
107,Senate,1,29148,1,
107,Senate,1,29305,1,
107,Senate,1,29306,1,
107,Senate,1,29345,1,
107,Senate,1,29523,1,
107,Senate,1,29537,1,
107,Senate,1,29732,1,
107,Senate,1,39310,1,
107,Senate,1,40101,1,
107,Senate,1,40102,1,
107,Senate,1,40103,1,
107,Senate,1,40104,1,
107,Senate,1,40105,1,
107,Senate,1,49101,1,
107,Senate,1,49300,1,
107,Senate,1,49306,1,
107,Senate,1,49307,1,
107,Senate,1,49308,1,
107,Senate,1,49309,1,
107,Senate,1,49502,1,
107,Senate,1,49503,1,
107,Senate,1,49700,1,
107,Senate,1,49701,1,
107,Senate,1,49702,1,
107,Senate,1,49703,1,
107,Senate,1,49704,1,
107,Senate,1,49705,1,
107,Senate,1,49706,1,
107,Senate,1,49900,1,
107,Senate,1,49901,1,
107,Senate,1,49902,1,
107,Senate,1,49903,1,
107,Senate,1,49904,1,
107,Senate,1,49905,1,
107,Senate,1,94659,1,
107,Senate,1,95407,1,
107,Senate,1,99910,1,
107,Senate,2,1366,1,
107,Senate,2,4812,1,
107,Senate,2,9369,1,
107,Senate,2,10808,1,
107,Senate,2,11204,1,
107,Senate,2,12109,1,
107,Senate,2,13039,1,
107,Senate,2,13056,1,
107,Senate,2,14009,1,
107,Senate,2,14031,1,
107,Senate,2,14101,1,
107,Senate,2,14103,1,
107,Senate,2,14105,1,
107,Senate,2,14203,1,
107,Senate,2,14213,1,
107,Senate,2,14226,1,
107,Senate,2,14230,1,
107,Senate,2,14240,1,
107,Senate,2,14307,1,
107,Senate,2,14400,1,
107,Senate,2,14440,1,
107,Senate,2,14503,1,
107,Senate,2,14506,1,
107,Senate,2,14617,1,
107,Senate,2,14628,1,
107,Senate,2,14651,1,
107,Senate,2,14661,1,
107,Senate,2,14709,1,
107,Senate,2,14712,1,
107,Senate,2,14809,1,
107,Senate,2,14812,1,
107,Senate,2,14826,1,
107,Senate,2,14852,1,
107,Senate,2,14858,1,
107,Senate,2,14871,1,
107,Senate,2,14907,1,
107,Senate,2,14908,1,
107,Senate,2,14910,1,
107,Senate,2,14912,1,
107,Senate,2,14920,1,
107,Senate,2,14921,1,
107,Senate,2,14922,1,
107,Senate,2,15011,1,
107,Senate,2,15015,1,
107,Senate,2,15020,1,
107,Senate,2,15021,1,
107,Senate,2,15039,1,
107,Senate,2,15054,1,
107,Senate,2,15071,1,
107,Senate,2,15116,1,
107,Senate,2,15406,1,
107,Senate,2,15424,1,
107,Senate,2,15425,1,
107,Senate,2,15429,1,
107,Senate,2,15501,1,
107,Senate,2,15502,1,
107,Senate,2,15503,1,
107,Senate,2,15633,1,
107,Senate,2,15701,1,
107,Senate,2,15703,1,
107,Senate,2,15704,1,
107,Senate,2,29108,1,
107,Senate,2,29141,1,
107,Senate,2,29142,1,
107,Senate,2,29148,1,
107,Senate,2,29305,1,
107,Senate,2,29306,1,
107,Senate,2,29345,1,
107,Senate,2,29523,1,
107,Senate,2,29537,1,
107,Senate,2,29732,1,
107,Senate,2,39310,1,
107,Senate,2,40101,1,
107,Senate,2,40102,1,
107,Senate,2,40103,1,
107,Senate,2,40104,1,
107,Senate,2,40105,1,
107,Senate,2,49101,1,
107,Senate,2,49300,1,
107,Senate,2,49306,1,
107,Senate,2,49307,1,
107,Senate,2,49308,1,
107,Senate,2,49309,1,
107,Senate,2,49502,1,
107,Senate,2,49503,1,
107,Senate,2,49700,1,
107,Senate,2,49701,1,
107,Senate,2,49702,1,
107,Senate,2,49703,1,
107,Senate,2,49704,1,
107,Senate,2,49705,1,
107,Senate,2,49706,1,
107,Senate,2,49900,1,
107,Senate,2,49901,1,
