congress,chamber,rollnumber,icpsr,cast_code,prob
110,Senate,1,1366,1,
110,Senate,1,4812,9,
110,Senate,1,10808,1,
110,Senate,1,12109,1,
110,Senate,1,14009,1,
110,Senate,1,14031,1,
110,Senate,1,14101,9,
110,Senate,1,14103,1,
110,Senate,1,14203,1,
110,Senate,1,14213,1,
110,Senate,1,14226,1,
110,Senate,1,14230,1,
110,Senate,1,14307,1,
110,Senate,1,14400,1,
110,Senate,1,14440,1,
110,Senate,1,14503,1,
110,Senate,1,14506,1,
110,Senate,1,14651,1,
110,Senate,1,14661,1,
110,Senate,1,14709,1,
110,Senate,1,14712,1,
110,Senate,1,14809,1,
110,Senate,1,14812,1,
110,Senate,1,14826,9,
110,Senate,1,14852,1,
110,Senate,1,14858,1,
110,Senate,1,14871,1,
110,Senate,1,14910,1,
110,Senate,1,14912,1,
110,Senate,1,14914,9,
110,Senate,1,14920,1,
110,Senate,1,14921,1,
110,Senate,1,14922,1,
110,Senate,1,15011,1,
110,Senate,1,15015,1,
110,Senate,1,15021,1,
110,Senate,1,15039,9,
110,Senate,1,15054,1,
110,Senate,1,15406,1,
110,Senate,1,15408,1,
110,Senate,1,15424,1,
110,Senate,1,15425,9,
110,Senate,1,15429,1,
110,Senate,1,15501,1,
110,Senate,1,15502,1,
110,Senate,1,15633,1,
110,Senate,1,15703,1,
110,Senate,1,15704,1,
110,Senate,1,29108,1,
110,Senate,1,29142,1,
110,Senate,1,29147,9,
110,Senate,1,29305,1,
110,Senate,1,29345,1,
110,Senate,1,29373,1,
110,Senate,1,29389,1,
110,Senate,1,29512,1,
110,Senate,1,29523,9,
110,Senate,1,29537,1,
110,Senate,1,29548,1,
110,Senate,1,29555,1,
110,Senate,1,29566,1,
110,Senate,1,29732,1,
110,Senate,1,29740,1,
110,Senate,1,29754,1,
110,Senate,1,29909,1,
110,Senate,1,29918,1,
110,Senate,1,29936,1,
110,Senate,1,39310,1,
110,Senate,1,40103,1,
110,Senate,1,40105,1,
110,Senate,1,40300,1,
110,Senate,1,40301,1,
110,Senate,1,40302,1,
110,Senate,1,40303,9,
110,Senate,1,40304,9,
110,Senate,1,40305,1,
110,Senate,1,40500,1,
110,Senate,1,40501,1,
110,Senate,1,40502,1,
110,Senate,1,40700,1,
110,Senate,1,40701,1,
110,Senate,1,40702,1,
110,Senate,1,40703,1,
110,Senate,1,40704,1,
110,Senate,1,40705,1,
110,Senate,1,40706,1,
110,Senate,1,49300,1,
110,Senate,1,49306,9,
110,Senate,1,49307,1,
110,Senate,1,49308,1,
110,Senate,1,49309,1,
110,Senate,1,49700,1,
110,Senate,1,49702,1,
110,Senate,1,49703,1,
110,Senate,1,49704,1,
110,Senate,1,49705,1,
110,Senate,1,49706,1,
110,Senate,1,49901,1,
110,Senate,1,49903,9,
110,Senate,1,94659,1,
110,Senate,1,99910,9,
110,Senate,2,1366,9,
110,Senate,2,4812,9,
110,Senate,2,10808,1,
110,Senate,2,12109,1,
110,Senate,2,14009,1,
110,Senate,2,14031,6,
110,Senate,2,14101,1,
110,Senate,2,14103,1,
110,Senate,2,14203,1,
110,Senate,2,14213,1,
110,Senate,2,14226,1,
110,Senate,2,14230,1,
110,Senate,2,14307,1,
110,Senate,2,14400,1,
110,Senate,2,14440,1,
110,Senate,2,14503,1,
110,Senate,2,14506,6,
110,Senate,2,14651,1,
110,Senate,2,14661,1,
110,Senate,2,14709,1,
110,Senate,2,14712,1,
110,Senate,2,14809,1,
110,Senate,2,14812,1,
110,Senate,2,14826,1,
110,Senate,2,14852,1,
110,Senate,2,14858,1,
110,Senate,2,14871,1,
110,Senate,2,14910,1,
110,Senate,2,14912,1,
110,Senate,2,14914,1,
110,Senate,2,14920,1,
110,Senate,2,14921,1,
110,Senate,2,14922,1,
110,Senate,2,15011,1,
110,Senate,2,15015,1,
110,Senate,2,15021,1,
110,Senate,2,15039,1,
110,Senate,2,15054,1,
110,Senate,2,15406,1,
110,Senate,2,15408,1,
110,Senate,2,15424,1,
110,Senate,2,15425,9,
110,Senate,2,15429,1,
110,Senate,2,15501,1,
110,Senate,2,15502,1,
110,Senate,2,15633,1,
110,Senate,2,15703,1,
110,Senate,2,15704,1,
110,Senate,2,29108,1,
110,Senate,2,29142,1,
110,Senate,2,29147,1,
110,Senate,2,29305,1,
110,Senate,2,29345,9,
110,Senate,2,29373,1,
110,Senate,2,29389,1,
110,Senate,2,29512,1,
110,Senate,2,29523,9,
110,Senate,2,29537,1,
110,Senate,2,29548,1,
110,Senate,2,29555,1,
110,Senate,2,29566,1,
110,Senate,2,29732,1,
110,Senate,2,29740,1,
110,Senate,2,29754,1,
110,Senate,2,29909,1,
110,Senate,2,29918,1,
110,Senate,2,29936,1,
110,Senate,2,39310,1,
110,Senate,2,40103,1,
110,Senate,2,40105,1,
110,Senate,2,40300,1,
110,Senate,2,40301,1,
110,Senate,2,40302,1,
110,Senate,2,40303,1,
110,Senate,2,40304,1,
110,Senate,2,40305,1,
110,Senate,2,40500,1,
110,Senate,2,40501,1,
110,Senate,2,40502,1,
110,Senate,2,40700,1,
110,Senate,2,40701,1,
110,Senate,2,40702,1,
110,Senate,2,40703,1,
110,Senate,2,40704,1,
110,Senate,2,40705,1,
110,Senate,2,40706,1,
110,Senate,2,49300,1,
110,Senate,2,49306,1,
110,Senate,2,49307,1,
110,Senate,2,49308,1,
110,Senate,2,49309,1,
110,Senate,2,49700,1,
110,Senate,2,49702,1,
110,Senate,2,49703,1,
110,Senate,2,49704,1,
110,Senate,2,49705,1,
110,Senate,2,49706,1,
110,Senate,2,49901,1,
110,Senate,2,49903,1,
110,Senate,2,94659,1,
110,Senate,2,99910,9,
110,Senate,3,1366,1,95.4
110,Senate,3,4812,9,99.3
110,Senate,3,10808,1,99.9
110,Senate,3,12109,1,37.9
110,Senate,3,14009,6,79.5
110,Senate,3,14031,6,92.1
110,Senate,3,14101,1,99.5
110,Senate,3,14103,1,26.7
110,Senate,3,14203,1,98.4
110,Senate,3,14213,1,99.8
110,Senate,3,14226,6,88.8
110,Senate,3,14230,1,99.9
110,Senate,3,14307,1,99.7
110,Senate,3,14400,1,99.2
110,Senate,3,14440,1,99.7
110,Senate,3,14503,6,92.3
110,Senate,3,14506,6,82.8
110,Senate,3,14651,1,96.0
110,Senate,3,14661,1,75.1
110,Senate,3,14709,1,99.8
110,Senate,3,14712,6,74.7
110,Senate,3,14809,6,98.0
110,Senate,3,14812,1,98.8
110,Senate,3,14826,6,96.5
110,Senate,3,14852,6,94.9
110,Senate,3,14858,1,99.9
110,Senate,3,14871,1,99.8
110,Senate,3,14910,6,19.0
110,Senate,3,14912,1,98.9
110,Senate,3,14914,1,99.9
110,Senate,3,14920,1,99.8
110,Senate,3,14921,6,93.9
110,Senate,3,14922,1,99.0
110,Senate,3,15011,1,99.9
110,Senate,3,15015,1,98.5
110,Senate,3,15021,1,99.8
