congress,chamber,rollnumber,icpsr,cast_code,prob
97,Senate,1,660,1,
97,Senate,1,1252,1,
97,Senate,1,1366,1,
97,Senate,1,1482,1,
97,Senate,1,3658,1,
97,Senate,1,4812,1,
97,Senate,1,4851,1,
97,Senate,1,5767,1,
97,Senate,1,7638,1,
97,Senate,1,7722,1,
97,Senate,1,8883,1,
97,Senate,1,9369,1,
97,Senate,1,10147,1,
97,Senate,1,10513,1,
97,Senate,1,10535,1,
97,Senate,1,10562,1,
97,Senate,1,10569,1,
97,Senate,1,10605,1,
97,Senate,1,10791,1,
97,Senate,1,10802,1,
97,Senate,1,10808,1,
97,Senate,1,10818,1,
97,Senate,1,10823,1,
97,Senate,1,11029,1,
97,Senate,1,11043,1,
97,Senate,1,11044,1,
97,Senate,1,11200,1,
97,Senate,1,11203,1,
97,Senate,1,11204,1,
97,Senate,1,11205,1,
97,Senate,1,12032,1,
97,Senate,1,12039,1,
97,Senate,1,12103,1,
97,Senate,1,12104,1,
97,Senate,1,12107,1,
97,Senate,1,12109,1,
97,Senate,1,13039,1,
97,Senate,1,13050,1,
97,Senate,1,13101,1,
97,Senate,1,14000,1,
97,Senate,1,14002,1,
97,Senate,1,14009,1,
97,Senate,1,14010,1,
97,Senate,1,14056,1,
97,Senate,1,14073,1,
97,Senate,1,14077,1,
97,Senate,1,14101,1,
97,Senate,1,14103,1,
97,Senate,1,14105,6,
97,Senate,1,14106,1,
97,Senate,1,14107,1,
97,Senate,1,14108,9,
97,Senate,1,14203,1,
97,Senate,1,14213,1,
97,Senate,1,14226,1,
97,Senate,1,14242,1,
97,Senate,1,14268,1,
97,Senate,1,14279,1,
97,Senate,1,14300,1,
97,Senate,1,14302,1,
97,Senate,1,14303,1,
97,Senate,1,14304,1,
97,Senate,1,14305,1,
97,Senate,1,14307,1,
97,Senate,1,14447,1,
97,Senate,1,14500,1,
97,Senate,1,14501,1,
97,Senate,1,14502,1,
97,Senate,1,14503,1,
97,Senate,1,14504,1,
97,Senate,1,14506,1,
97,Senate,1,14508,1,
97,Senate,1,14509,1,
97,Senate,1,14510,1,
97,Senate,1,14511,1,
97,Senate,1,14512,1,
97,Senate,1,14700,1,
97,Senate,1,14701,1,
97,Senate,1,14702,1,
97,Senate,1,14703,1,
97,Senate,1,14704,1,
97,Senate,1,14705,1,
97,Senate,1,14706,1,
97,Senate,1,14707,1,
97,Senate,1,14708,1,
97,Senate,1,14709,1,
97,Senate,1,14710,1,
97,Senate,1,14712,1,
97,Senate,1,14713,1,
97,Senate,1,14900,1,
97,Senate,1,14901,1,
97,Senate,1,14902,1,
97,Senate,1,14903,6,
97,Senate,1,14904,1,
97,Senate,1,14905,1,
97,Senate,1,14906,1,
97,Senate,1,14907,1,
97,Senate,1,14908,1,
97,Senate,1,14909,1,
97,Senate,1,14910,1,
97,Senate,1,99907,1,
97,Senate,2,660,1,
97,Senate,2,1252,1,
97,Senate,2,1366,1,
97,Senate,2,1482,1,
97,Senate,2,3658,6,
97,Senate,2,4812,9,
97,Senate,2,4851,1,
97,Senate,2,5767,6,
97,Senate,2,7638,1,
97,Senate,2,7722,9,
97,Senate,2,8883,1,
97,Senate,2,9369,1,
97,Senate,2,10147,1,
97,Senate,2,10513,1,
97,Senate,2,10535,1,
97,Senate,2,10562,1,
97,Senate,2,10569,1,
97,Senate,2,10605,1,
97,Senate,2,10791,1,
97,Senate,2,10802,1,
97,Senate,2,10808,1,
97,Senate,2,10818,1,
97,Senate,2,10823,1,
97,Senate,2,11029,1,
97,Senate,2,11043,1,
97,Senate,2,11044,1,
97,Senate,2,11200,1,
97,Senate,2,11203,1,
97,Senate,2,11204,1,
97,Senate,2,11205,1,
97,Senate,2,12032,1,
97,Senate,2,12039,1,
97,Senate,2,12103,1,
97,Senate,2,12104,1,
97,Senate,2,12107,1,
97,Senate,2,12109,1,
97,Senate,2,13039,1,
97,Senate,2,13050,1,
97,Senate,2,13101,1,
97,Senate,2,14000,1,
97,Senate,2,14002,1,
97,Senate,2,14009,1,
97,Senate,2,14010,1,
97,Senate,2,14056,9,
97,Senate,2,14073,1,
97,Senate,2,14077,1,
97,Senate,2,14101,1,
97,Senate,2,14103,1,
97,Senate,2,14105,1,
97,Senate,2,14106,1,
97,Senate,2,14107,1,
97,Senate,2,14108,9,
97,Senate,2,14203,1,
97,Senate,2,14213,1,
97,Senate,2,14226,1,
97,Senate,2,14242,1,
97,Senate,2,14268,1,
97,Senate,2,14279,1,
97,Senate,2,14300,1,
97,Senate,2,14302,1,
97,Senate,2,14303,1,
97,Senate,2,14304,1,
97,Senate,2,14305,1,
97,Senate,2,14307,1,
97,Senate,2,14447,1,
97,Senate,2,14500,1,
97,Senate,2,14501,1,
97,Senate,2,14502,1,
97,Senate,2,14503,1,
97,Senate,2,14504,1,
97,Senate,2,14506,1,
97,Senate,2,14508,1,
97,Senate,2,14509,1,
97,Senate,2,14510,1,
97,Senate,2,14511,1,
97,Senate,2,14512,1,
97,Senate,2,14700,1,
97,Senate,2,14701,1,
97,Senate,2,14702,1,
97,Senate,2,14703,1,
97,Senate,2,14704,1,
97,Senate,2,14705,1,
97,Senate,2,14706,1,
97,Senate,2,14707,1,
97,Senate,2,14708,1,
97,Senate,2,14709,1,
97,Senate,2,14710,1,
97,Senate,2,14712,1,
97,Senate,2,14713,1,
97,Senate,2,14900,1,
97,Senate,2,14901,1,
97,Senate,2,14902,1,
97,Senate,2,14903,1,
97,Senate,2,14904,1,
97,Senate,2,14905,1,
97,Senate,2,14906,1,
97,Senate,2,14907,1,
97,Senate,2,14908,1,
97,Senate,2,14909,1,
97,Senate,2,14910,1,
97,Senate,2,99907,9,
97,Senate,3,660,1,99.4
97,Senate,3,1252,1,93.1
97,Senate,3,1366,6,2.1
97,Senate,3,1482,1,99.1
97,Senate,3,3658,1,97.9
97,Senate,3,4812,1,92.4
97,Senate,3,4851,1,94.1
97,Senate,3,5767,1,99.5
97,Senate,3,7638,1,67.8
97,Senate,3,7722,1,98.0
97,Senate,3,8883,1,99.8
97,Senate,3,9369,1,99.8
97,Senate,3,10147,1,77.5
97,Senate,3,10513,1,99.6
97,Senate,3,10535,1,92.7
97,Senate,3,10562,1,98.2
97,Senate,3,10569,1,99.8
